hashtag,date,count
#teamsuperman,20160403,5
#teambatman,20160403,10
#teamironman,20160403,0
#teamcap,20160403,0
#teamsuperman,20160404,23
#teambatman,20160404,38
#teamironman,20160404,4
#teamcap,20160404,3
#teamsuperman,20160405,31
#teambatman,20160405,20
#teamironman,20160405,2
#teamcap,20160405,4
#teamsuperman,20160406,13
#teambatman,20160406,17
#teamironman,20160406,1
#teamcap,20160406,3
#teamsuperman,20160407,10
#teambatman,20160407,20
#teamironman,20160407,2
#teamcap,20160407,4
#teamsuperman,20160408,10
#teambatman,20160408,21
#teamironman,20160408,0
#teamcap,20160408,0
#teamsuperman,20160409,13
#teambatman,20160409,24
#teamironman,20160409,0
#teamcap,20160409,2
#teamsuperman,20160410,15
#teambatman,20160410,25
#teamironman,20160410,3
#teamcap,20160410,0
#teamsuperman,20160411,18
#teambatman,20160411,21
#teamironman,20160411,2
#teamcap,20160411,3
#teamsuperman,20160412,41
#teambatman,20160412,48
#teamironman,20160412,40
#teamcap,20160412,35
#teamsuperman,20160413,12
#teambatman,20160413,15
#teamironman,20160413,2
#teamcap,20160413,6
#teamsuperman,20160414,13
#teambatman,20160414,16
#teamironman,20160414,4
#teamcap,20160414,5
#teamsuperman,20160415,6
#teambatman,20160415,15
#teamironman,20160415,2
#teamcap,20160415,2
#teamsuperman,20160416,6
#teambatman,20160416,11
#teamironman,20160416,1
#teamcap,20160416,1
#teamsuperman,20160417,11
#teambatman,20160417,18
#teamironman,20160417,3
#teamcap,20160417,5
#teamsuperman,20160418,8
#teambatman,20160418,15
#teamironman,20160418,5
#teamcap,20160418,6
#teamsuperman,20160419,13
#teambatman,20160419,15
#teamironman,20160419,5
#teamcap,20160419,8
#teamsuperman,20160420,4
#teambatman,20160420,15
#teamironman,20160420,1
#teamcap,20160420,1
#teamsuperman,20160421,5
#teambatman,20160421,9
#teamironman,20160421,1
#teamcap,20160421,1
#teamsuperman,20160422,5
#teambatman,20160422,9
#teamironman,20160422,1
#teamcap,20160422,0
#teamsuperman,20160423,16
#teambatman,20160423,4
#teamironman,20160423,0
#teamcap,20160423,0
#teamsuperman,20160424,6
#teambatman,20160424,7
#teamironman,20160424,3
#teamcap,20160424,2
#teamsuperman,20160425,8
#teambatman,20160425,10
#teamironman,20160425,1
#teamcap,20160425,0
#teamsuperman,20160426,6
#teambatman,20160426,6
#teamironman,20160426,1
#teamcap,20160426,2
#teamsuperman,20160427,2
#teambatman,20160427,8
#teamironman,20160427,1
#teamcap,20160427,0
#teamsuperman,20160428,6
#teambatman,20160428,12
#teamironman,20160428,6
#teamcap,20160428,5
#teamsuperman,20160429,3
#teambatman,20160429,13
#teamironman,20160429,0
#teamcap,20160429,3
#teamsuperman,20160430,6
#teambatman,20160430,16
#teamironman,20160430,1
#teamcap,20160430,2
#teamsuperman,20160501,4
#teambatman,20160501,7
#teamironman,20160501,1
#teamcap,20160501,3
